Note:
Results of the csv export.
If more than one entry per data field is available for a strain, the export contains multiple lines per strain.
At the end of the line you find the reference for each exported entry.


Export with Textmined data

strains.ID_strains;strains.Culture collection no.;strains.Species;strains.Strain Designation;strains_tax_PNU.Species (PNU);strains_tax_PNU.ID_reference

"152369";"CCUG 46539";"Carnobacterium maltaromaticum";"";"Carnobacterium maltaromaticum";"20215";

"153208";"CCUG 48759";"Carnobacterium maltaromaticum";"";"Carnobacterium maltaromaticum";"20215";

"154845";"CCUG 55383";"Carnobacterium maltaromaticum";"";"Carnobacterium maltaromaticum";"20215";

"154846";"CCUG 55384";"Carnobacterium maltaromaticum";"";"Carnobacterium maltaromaticum";"20215";

"154994";"CCUG 56008";"Carnobacterium maltaromaticum";"";"Carnobacterium maltaromaticum";"20215";

"156165";"CCUG 60593";"Carnobacterium maltaromaticum";"";"Carnobacterium maltaromaticum";"20215";

"145987";"CCUG 30096, CCM 4112";"Carnobacterium mobile";"";"Carnobacterium mobile";"20215";

"153085";"CCUG 48443";"Carnobacterium mobile";"";"Carnobacterium mobile";"20215";

"151068";"CCUG 43202";"Carnobacterium sp.";"";"Carnobacterium sp.";"20215";

"5252";"DSM 18331, CCUG 49459, CIP 108575";"Catellicoccus marimammalium";"SAC M35/04/3";"Catellicoccus marimammalium";"20215";

"153414";"CCUG 49509";"Catellicoccus marimammalium";"";"Catellicoccus marimammalium";"20215";

"2359";"DSM 14368, ATCC 25174, CCUG 35596, NRRL B-3752";"Cellulomonas humilata";"PSU-16S";"Cellulomonas humilata";"20215";

"154946";"CCUG 55802";"Cellulomonas sp.";"";"Cellulomonas sp.";"20215";

"153636";"CCUG 50454";"Cellulosimicrobium cellulans";"";"Cellulosimicrobium cellulans";"20215";

"11756";"DSM 21392, CCUG 55632";"Chelonobacter oris";"1662";"Chelonobacter oris";"20215";

"153900";"CCUG 51561";"Chryseobacterium hominis";"";"Chryseobacterium hominis";"20215";

"5504";"DSM 15886, ATCC BAA 825, CCUG 46293, CIP 108613";"Cloacibacterium normanense";"NRS1";"Cloacibacterium normanense";"20215";

"152682";"CCUG 47350";"Clostridium sp.";"";"Clostridium sp.";"20215";

"148976";"CCUG 36667";"Clostridium tertium";"";"Clostridium tertium";"20215";

"149781";"CCUG 38387";"Clostridium tertium";"";"Clostridium tertium";"20215";

"150661";"CCUG 41891";"Clostridium tertium";"";"Clostridium tertium";"20215";

"152821";"CCUG 47709";"Clostridium tertium";"";"Clostridium tertium";"20215";

"156249";"CCUG 60858";"Clostridium tertium";"";"Clostridium tertium";"20215";

"5716";"DSM 25327, CIP 106119, LMG 14382, CCUG 46148";"Coenonia anatina";"1502-91";"Coenonia anatina";"20215";

"146891";"CCUG 32387, LMG 14328";"Coenonia anatina";"";"Coenonia anatina";"20215";

"11450";"DSM 21753, NBRC 104957";"Cohnella fontinalis";"YT-1101";"Cohnella fontinalis";"20215";

"2929";"DSM 13191, CCT 7062, NCCB 100007, CCUG 45781, CIP 107121";"Comamonas nitrativorans";"23310";"Comamonas nitrativorans";"20215";

"152594";"CCUG 47166, ATCC 29436, IAM 15036, JCM 21499";"Conchiformibius kuhniae";"";"Conchiformibius kuhniae";"20215";

"17910";"DSM 17192, CECT 7588, NBRC 104960";"Congregibacter litoralis";"KT71";"Congregibacter litoralis";"20215";

"131411";"DSM 22771";"Congregibacter sp.";"NOR5-3, Rap1red";"Congregibacter sp.";"20215";

"131377";"DSM 28795, LMG 28291";"Convivina intestini";"H79-80";"Convivina intestini";"20215";

"3166";"DSM 44278, ATCC 49725, CCUG 28779, CNCTC Th1/57, LMG 19042";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"145533";"CCUG 28781, CNCTC Th8/85, ATCC 49727";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"147053";"CCUG 32747";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"149473";"CCUG 37805";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153055";"CCUG 48385";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153086";"CCUG 48444";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153146";"CCUG 48578";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153536";"CCUG 50111";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153663";"CCUG 50537";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153668";"CCUG 50582";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"153905";"CCUG 51581";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"154263";"CCUG 52920";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"154495";"CCUG 53872";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"155112";"CCUG 56508";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"155448";"CCUG 57796";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"152540";"CCUG 47029 A";"Corynebacterium accolens";"";"Corynebacterium accolens";"20215";

"147843";"CCUG 34354";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"150463";"CCUG 41350";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"154405";"CCUG 53437";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"154924";"CCUG 55732";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"155181";"CCUG 56813";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"155894";"CCUG 59585";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"155917";"CCUG 59639";"Corynebacterium afermentans";"";"Corynebacterium afermentans";"20215";

"3169";"DSM 44282, ATCC 51404, CCUG 32105, CIP 103500";"Corynebacterium afermentans subsp. lipophilum";"T 18502";"Corynebacterium afermentans subsp. lipophilum";"20215";

"3170";"DSM 44283, CCUG 32106";"Corynebacterium afermentans subsp. lipophilum";"Riegel T 88593";"Corynebacterium afermentans subsp. lipophilum";"20215";

"153003";"CCUG 48250";"Corynebacterium ammoniagenes";"";"Corynebacterium ammoniagenes";"20215";

"153004";"CCUG 48251";"Corynebacterium ammoniagenes";"";"Corynebacterium ammoniagenes";"20215";

"153006";"CCUG 48254";"Corynebacterium ammoniagenes";"";"Corynebacterium ammoniagenes";"20215";

"153579";"CCUG 50273";"Corynebacterium ammoniagenes";"";"Corynebacterium ammoniagenes";"20215";

"153666";"CCUG 50563";"Corynebacterium ammoniagenes";"";"Corynebacterium ammoniagenes";"20215";

"148023";"CCUG 34699";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"148024";"CCUG 34700";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"149006";"CCUG 36714";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"152500";"CCUG 46945";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"152980";"CCUG 48186";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"153159";"CCUG 48602";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"154808";"CCUG 55290";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155049";"CCUG 56284";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155324";"CCUG 57329";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155334";"CCUG 57358";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155377";"CCUG 57527";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155580";"CCUG 58230";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155980";"CCUG 59875";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"155991";"CCUG 59929";"Corynebacterium amycolatum";"";"Corynebacterium amycolatum";"20215";

"3198";"DSM 44531, JCM 11765, NRRL B-24151, CCUG 48298";"Corynebacterium appendicis";"IMMIB R-3491";"Corynebacterium appendicis";"20215";

"156991";"CCUG 68259";"Corynebacterium appendicis";"";"Corynebacterium appendicis";"20215";

"3244";"DSM 45632, CCUG 61574, JCM 19112";"Corynebacterium aquatimens";"IMMIB L-2012475 No.1, clone 1-1491, IMMIB L-2475, L-2012475";"Corynebacterium aquatimens";"20215";

"151933";"CCUG 45244";"Corynebacterium argentoratense";"";"Corynebacterium argentoratense";"20215";

"154622";"CCUG 54613";"Corynebacterium argentoratense";"";"Corynebacterium argentoratense";"20215";

"154850";"CCUG 55399";"Corynebacterium argentoratense";"";"Corynebacterium argentoratense";"20215";

"155585";"CCUG 58244";"Corynebacterium argentoratense";"";"Corynebacterium argentoratense";"20215";

"155958";"CCUG 59781";"Corynebacterium argentoratense";"";"Corynebacterium argentoratense";"20215";

"3213";"DSM 44849, CCUG 45804, CIP 107431, JCM 12368";"Corynebacterium atypicum";"R2070";"Corynebacterium atypicum";"20215";

"148319";"CCUG 35219";"Corynebacterium aurimucosum";"";"Corynebacterium aurimucosum";"20215";

"154188";"CCUG 52701";"Corynebacterium aurimucosum";"";"Corynebacterium aurimucosum";"20215";

"155537";"CCUG 58034";"Corynebacterium aurimucosum";"";"Corynebacterium aurimucosum";"20215";

"3158";"DSM 44122, CCUG 33426";"Corynebacterium auris";"";"Corynebacterium auris";"20215";

"152277";"CCUG 46311";"Corynebacterium auriscanis";"";"Corynebacterium auriscanis";"20215";

"152600";"CCUG 47174";"Corynebacterium auriscanis";"";"Corynebacterium auriscanis";"20215";

"3082";"DSM 20582, ATCC 7715, NCTC 3224, CCUG 2705";"Corynebacterium bovis";"";"Corynebacterium bovis";"20215";

"149685";"CCUG 38185";"Corynebacterium bovis";"";"Corynebacterium bovis";"20215";

"3239";"DSM 45402, CCUG 58627, JCM 19113";"Corynebacterium canis";"1170";"Corynebacterium canis";"20215";

"3183";"JCM 12102, DSM 44384, CCUG 38267, DMMZ 2439";"Corynebacterium confusum";"";"Corynebacterium confusum";"20215";

"157192";"CCUG 70361";"Corynebacterium confusum";"";"Corynebacterium confusum";"20215";

"151498";"CCUG 44154";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"153173";"CCUG 48637";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"153645";"CCUG 50475";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"153680";"CCUG 50635";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"155383";"CCUG 57560";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"155902";"CCUG 59613";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"156609";"CCUG 63501";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"154687";"CCUG 54854 B";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"155844";"CCUG 59464";"Corynebacterium coyleae";"";"Corynebacterium coyleae";"20215";

"152235";"CCUG 46180";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"152582";"CCUG 47126";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"153015";"CCUG 48308";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"153020";"CCUG 48332";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"153023";"CCUG 48337";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"153160";"CCUG 48604";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"154885";"CCUG 55537";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"156373";"CCUG 61339";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"156683";"CCUG 64120";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"156859";"CCUG 66147";"Corynebacterium diphtheriae";"";"Corynebacterium diphtheriae";"20215";

"153811";"CCUG 51244, KCCM 42201";"Corynebacterium durum";"";"Corynebacterium durum";"20215";

"156706";"CCUG 64264";"Corynebacterium durum";"";"Corynebacterium durum";"20215";

"156044";"CCUG 60194 B";"Corynebacterium durum";"";"Corynebacterium durum";"20215";

"145415";"CCUG 28411";"Corynebacterium falsenii";"";"Corynebacterium falsenii";"20215";

"135127";"CIP 103808, CCUG 32362";"Corynebacterium fastidiosum";"";"";"";

"23876";"DSM 45800, CCUG 63371, CIP 110785";"Corynebacterium frankenforstense";"ST18";"Corynebacterium frankenforstense";"20215";

"3231";"DSM 45254, CCUG 56874";"Corynebacterium freiburgense";"1045";"Corynebacterium freiburgense";"20215";

"152504";"CCUG 46961";"Corynebacterium freneyi";"";"Corynebacterium freneyi";"20215";

"156719";"CCUG 64424";"Corynebacterium freneyi";"";"Corynebacterium freneyi";"20215";

"145535";"CCUG 28784, ATCC 33034";"Corynebacterium genitalium";"";"";"";

"155823";"CCUG 59401";"Corynebacterium genitalium";"";"";"";

"156819";"CCUG 65575";"Corynebacterium genitalium";"";"";"";

"150099";"CCUG 38989 B, ATCC 33030, NCTC 12451";"Corynebacterium genitalium";"";"";"";

"151984";"CCUG 45430";"Corynebacterium genitalium";"";"";"";

"3196";"DSM 44530, CIP 107989, NRRL B-24142, CCUG 48297, JCM 12208";"Corynebacterium glaucum";"IMMIB R-5091";"Corynebacterium glaucum";"20215";

"156045";"CCUG 60195";"Corynebacterium glaucum";"";"Corynebacterium glaucum";"20215";

"131061";"DSM 100936";"Corynebacterium glucuronolyticum";"C5";"Corynebacterium glucuronolyticum";"20215";

"151530";"CCUG 44228";"Corynebacterium glucuronolyticum";"";"Corynebacterium glucuronolyticum";"20215";

"155169";"CCUG 56702";"Corynebacterium glucuronolyticum";"";"Corynebacterium glucuronolyticum";"20215";

"156205";"CCUG 60721";"Corynebacterium glucuronolyticum";"";"Corynebacterium glucuronolyticum";"20215";

"156441";"CCUG 61779";"Corynebacterium glucuronolyticum";"";"Corynebacterium glucuronolyticum";"20215";

"156605";"CCUG 63486";"Corynebacterium glucuronolyticum";"";"Corynebacterium glucuronolyticum";"20215";

"157085";"CCUG 69478";"Corynebacterium glucuronolyticum";"";"Corynebacterium glucuronolyticum";"20215";

"155821";"CCUG 59394 A";"Corynebacterium imitans";"";"Corynebacterium imitans";"20215";

"3142";"DSM 7171, ATCC 43734, CIP 103337, DSM 46361, IFO 15298, IMET 11513, NBRC 15298, NCTC 11913, CCUG 27192, LMG 19049";"Corynebacterium jeikeium";"D1076";"Corynebacterium jeikeium";"20215";

"147783";"CCUG 34219";"Corynebacterium jeikeium";"";"Corynebacterium jeikeium";"20215";

"147784";"CCUG 34220";"Corynebacterium jeikeium";"";"Corynebacterium jeikeium";"20215";

"147785";"CCUG 34221";"Corynebacterium jeikeium";"";"Corynebacterium jeikeium";"20215";

"151102";"CCUG 43278";"Corynebacterium jeikeium";"";"Corynebacterium jeikeium";"20215";

"156319";"CCUG 61137";"Corynebacterium jeikeium";"";"Corynebacterium jeikeium";"20215";

"154272";"CCUG 52944";"Corynebacterium kroppenstedtii";"";"Corynebacterium kroppenstedtii";"20215";

"156328";"CCUG 61180";"Corynebacterium kroppenstedtii";"";"Corynebacterium kroppenstedtii";"20215";

"156929";"CCUG 67109";"Corynebacterium kroppenstedtii";"";"Corynebacterium kroppenstedtii";"20215";

"3101";"DSM 20755, ATCC 15677, NCTC 11138, CCUG 27535, CIP 103423, JCM 9385, NBRC 15288";"Corynebacterium kutscheri";"";"Corynebacterium kutscheri";"20215";

"23877";"DSM 45799, CCUG 63372, CIP 110786";"Corynebacterium lactis";"RW2-5";"Corynebacterium lactis";"20215";

"140633";"LMG 28276, CCUG 65815";"Corynebacterium lowii";"R-50085";"Corynebacterium lowii";"20215";

"155515";"CCUG 57955";"Corynebacterium lubricantis";"";"Corynebacterium lubricantis";"20215";

"155516";"CCUG 57957";"Corynebacterium lubricantis";"";"Corynebacterium lubricantis";"20215";

"3171";"DSM 44284, ATCC 51787, CCUG 32361, CIP 104099, JCM 11684";"Corynebacterium macginleyi";"JCL 2, JCP 2";"Corynebacterium macginleyi";"20215";

"153206";"CCUG 48743";"Corynebacterium macginleyi";"";"Corynebacterium macginleyi";"20215";

"154548";"CCUG 54370";"Corynebacterium macginleyi";"";"Corynebacterium macginleyi";"20215";

"154925";"CCUG 55733";"Corynebacterium macginleyi";"";"Corynebacterium macginleyi";"20215";

"155002";"CCUG 56026";"Corynebacterium macginleyi";"";"Corynebacterium macginleyi";"20215";

"155429";"CCUG 57734";"Corynebacterium macginleyi";"";"Corynebacterium macginleyi";"20215";

"155445";"CCUG 57786";"Corynebacterium macginleyi";"";"Corynebacterium macginleyi";"20215";

"3232";"DSM 45435, CCUG 53857, CIP 109423, CSUR P19";"Corynebacterium massiliense";"5402485";"Corynebacterium massiliense";"20215";

"153361";"CCUG 49336";"Corynebacterium massiliense";"";"Corynebacterium massiliense";"20215";

"153438";"CCUG 49589";"Corynebacterium massiliense";"";"Corynebacterium massiliense";"20215";

"148232";"CCUG 35080";"Corynebacterium mastitidis";"";"Corynebacterium mastitidis";"20215";

"3176";"DSM 44354, CCUG 36688";"Corynebacterium mastitidis";"SVA Bd 4658/96";"Corynebacterium mastitidis";"20215";

"3177";"DSM 44355, CCUG 36857";"Corynebacterium mastitidis";"SVA B 1736/96";"Corynebacterium mastitidis";"20215";

"151839";"CCUG 45029";"Corynebacterium mastitidis";"";"Corynebacterium mastitidis";"20215";

"152035";"CCUG 45616";"Corynebacterium mastitidis";"";"Corynebacterium mastitidis";"20215";

"155675";"CCUG 58913";"Corynebacterium mastitidis";"";"Corynebacterium mastitidis";"20215";

"156507";"CCUG 62267";"Corynebacterium mastitidis";"";"Corynebacterium mastitidis";"20215";

"156865";"CCUG 66186";"Corynebacterium mastitidis";"";"Corynebacterium mastitidis";"20215";

"153040";"CCUG 48368";"Corynebacterium minutissimum";"";"Corynebacterium minutissimum";"20215";

"153887";"CCUG 51535";"Corynebacterium minutissimum";"";"Corynebacterium minutissimum";"20215";

"155703";"CCUG 59056";"Corynebacterium minutissimum";"";"Corynebacterium minutissimum";"20215";

"155646";"CCUG 58632";"Corynebacterium mucifaciens";"";"Corynebacterium mucifaciens";"20215";

"3236";"JCM 17318, DSM 45274, CCUG 57279";"Corynebacterium mustelae";"3105";"Corynebacterium mustelae";"20215";

"157010";"CCUG 68618";"Corynebacterium mycetoides";"";"Corynebacterium mycetoides";"20215";

"156802";"CCUG 65455, LMG 28166";"Corynebacterium nasicanis";"";"Corynebacterium nasicanis";"20215";

"140634";"CCUG 65816, LMG 28277";"Corynebacterium oculi";"R-50187";"Corynebacterium oculi";"20215";

"153068";"CCUG 48414";"Corynebacterium otitidis";"";"Corynebacterium otitidis";"20215";

"3238";"JCM 17319, DSM 45350, CCUG 57942";"Corynebacterium pilbarense";"IMMIB WACC 658, WACC 658";"Corynebacterium pilbarense";"20215";

"156456";"CCUG 61888";"Corynebacterium propinquum";"";"Corynebacterium propinquum";"20215";

"3144";"DSM 44287, ATCC 10700, ATCC 7091, CCUG 27539, IFO 15362, NBRC 15362, NCTC 11136";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"152487";"CCUG 46919";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"152676";"CCUG 47331";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"153103";"CCUG 48498";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"153714";"CCUG 50720";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"154171";"CCUG 52657";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"155661";"CCUG 58744";"Corynebacterium pseudodiphtheriticum";"";"Corynebacterium pseudodiphtheriticum";"20215";

"146882";"CCUG 32359";"Corynebacterium pseudogenitalium";"";"";"";

"146883";"CCUG 32360";"Corynebacterium pseudogenitalium";"";"";"";

"154732";"CCUG 55013";"Corynebacterium pseudogenitalium";"";"";"";

"155390";"CCUG 57591";"Corynebacterium pseudogenitalium";"";"";"";

"155964";"CCUG 59806";"Corynebacterium pseudogenitalium";"";"";"";

"156041";"CCUG 60159";"Corynebacterium pseudogenitalium";"";"";"";

"156281";"CCUG 61016";"Corynebacterium pseudogenitalium";"";"";"";

"150100";"CCUG 38991 A, ATCC 33040";"Corynebacterium pseudogenitalium";"";"";"";

"153934";"CCUG 51687 A";"Corynebacterium pseudogenitalium";"";"";"";

"3113";"DSM 20689, ATCC 19410, NCTC 3450, CCUG 2806, LMG 19054, CIP 102968";"Corynebacterium pseudotuberculosis";"";"Corynebacterium pseudotuberculosis";"20215";

"137801";"CIP 52.97, CCUG 43567";"Corynebacterium pseudotuberculosis";"";"Corynebacterium pseudotuberculosis";"20215";

"3237";"DSM 45585, ATCC BAA 1742, CCUG 57046, JCM 17320";"Corynebacterium pyruviciproducens";"06-17730, WAL 19168";"Corynebacterium pyruviciproducens";"20215";

"151524";"CCUG 44216";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"153338";"CCUG 49272";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"155359";"CCUG 57455";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"155593";"CCUG 58288";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"156608";"CCUG 63498";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"156743";"CCUG 64739";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"156744";"CCUG 64740";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"156745";"CCUG 64741";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"151538";"CCUG 44256 A";"Corynebacterium pyruviciproducens";"";"Corynebacterium pyruviciproducens";"20215";

"3226";"DSM 45100, CCUG 50093, JCM 12819, GTC 2026";"Corynebacterium resistens";"GTC 2026, SICGH 158";"Corynebacterium resistens";"20215";

"3175";"LMG 19055, DSM 44326, CCUG 38180, CIP 105310, DMMZ 2415";"Corynebacterium riegelii";"697-97";"Corynebacterium riegelii";"20215";

"144847";"CCUG 26779";"Corynebacterium riegelii";"";"Corynebacterium riegelii";"20215";

"138196";"CIP 105311, CCUG 38181";"Corynebacterium riegelii";"";"Corynebacterium riegelii";"20215";

"149682";"CCUG 38182";"Corynebacterium riegelii";"";"Corynebacterium riegelii";"20215";

"152751";"CCUG 47547";"Corynebacterium sanguinis";"";"";"";

"155220";"CCUG 56948";"Corynebacterium sanguinis";"";"";"";

"155431";"CCUG 57747";"Corynebacterium sanguinis";"";"";"";

"155550";"CCUG 58103";"Corynebacterium sanguinis";"";"";"";

"155653";"CCUG 58655";"Corynebacterium sanguinis";"";"";"";

"155659";"CCUG 58734";"Corynebacterium sanguinis";"";"";"";

"156099";"CCUG 60367";"Corynebacterium sanguinis";"";"";"";

"156276";"CCUG 60992";"Corynebacterium sanguinis";"";"";"";

"155500";"CCUG 57899 A";"Corynebacterium sanguinis";"";"";"";

"151932";"CCUG 45243";"Corynebacterium singulare";"";"Corynebacterium singulare";"20215";

"146636";"CCUG 31689";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"147926";"CCUG 34516";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"148416";"CCUG 35399";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"148573";"CCUG 35654";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"150443";"CCUG 39944";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"152106";"CCUG 45807";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"152329";"CCUG 46455";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"152781";"CCUG 47604";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"152991";"CCUG 48203";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"153340";"CCUG 49277";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154131";"CCUG 52504";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154370";"CCUG 53271";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154381";"CCUG 53304";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154531";"CCUG 54259";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154705";"CCUG 54897";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154788";"CCUG 55190";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154889";"CCUG 55550";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154956";"CCUG 55863";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"154966";"CCUG 55891";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155106";"CCUG 56492";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155174";"CCUG 56767";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155216";"CCUG 56942";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155219";"CCUG 56947";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155430";"CCUG 57746";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155447";"CCUG 57793";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155600";"CCUG 58324";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155743";"CCUG 59191";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155912";"CCUG 59628";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"155918";"CCUG 59641";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"156040";"CCUG 60156";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"156266";"CCUG 60932";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"156398";"CCUG 61568";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"156399";"CCUG 61571";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"157060";"CCUG 69260";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"157165";"CCUG 69897";"Corynebacterium sp.";"";"Corynebacterium sp.";"20215";

"3228";"DSM 45148, CCUG 55795, CIP 109925, JCM 17321";"Corynebacterium sputi";"IMMIB L-999";"Corynebacterium sputi";"20215";

"152220";"CCUG 46146";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"152424";"CCUG 46760";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"153022";"CCUG 48336";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"153027";"CCUG 48343";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"153379";"CCUG 49389";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"153631";"CCUG 50427";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"153659";"CCUG 50522";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

"154419";"CCUG 53500";"Corynebacterium striatum";"";"Corynebacterium striatum";"20215";

