"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Cyclobacterium marinum",104,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Runella slithyformis",106,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Spirosoma linguale",108,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermococcus kodakarensis",311400,"0",NA,"strictanaero","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Intrasporangium calvum",53358,"0",NA,NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Chlorobaculum parvum",274539,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Halalkalicoccus jeotgali",413810,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Planctomyces brasiliensis",119,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Planctomyces limnophilus",120,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Hamadaea tsunoensis",53368,NA,"1","strictaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Planctomyces maris",122,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermodesulfovibrio thiophilus",340095,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Blastopirellula marina",124,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pirellula staleyi",125,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Psychroserpens burtonensis",49278,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Isosphaera pallida",128,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Moraxella caprae",90240,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methylobacterium sp. 4-46",426117,NA,"0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thiomonas arsenitoxydans",426114,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Microvirgula aerodenitrificans",57480,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Francisella sp. TX077308",573569,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Borrelia burgdorferi",139,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Borrelia hermsii",140,"0","0",NA,"spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Desulfotomaculum carboxydivorans",327817,"1",NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Oceanibulbus indolifex",225422,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Borrelia turicatae",142,"0","0",NA,"spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Borrelia coriaceae",144,"0",NA,NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas sp. M47T1",1179778,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ilumatobacter coccineus",467094,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Hyphomicrobium denitrificans",53399,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas sp. HYS",1163398,"0","0",NA,NA,"yes","doi","doi.org/10.1093/nar/gkw964"
"Acinetobacter guillouiae",106649,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acinetobacter bereziniae",106648,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Spirochaeta thermophila",154,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Microbacterium gubbeenense",159896,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brevibacterium album",417948,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Syntrophothermus lipocalidus",86170,NA,NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Fangia hongkongensis",270495,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Erythrobacter sp. NAP1",237727,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Picrophilus torridus",82076,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Treponema denticola",158,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Brachyspira hyodysenteriae",159,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acinetobacter nosocomialis",106654,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Treponema pallidum",160,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptomyces zinciresistens",1073330,"1","1","strictaero","tailed","no","doi","doi.org/10.1093/nar/gkw964"
"Treponema bryantii",163,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas resinovorans",53412,"0","0","strictaero",NA,"yes","doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio putealis",270496,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Treponema saccharophilum",165,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Xanthomonas axonopodis",53413,"0","0","strictaero","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Candidatus Caldiarchaeum subterraneum",311458,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Moranella endobia",1048758,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Treponema succinifaciens",167,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rubrobacter xylanophilus",49319,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Treponema lecithinolyticum",53418,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Aster yellows witches'-broom phytoplasma",229545,"0",NA,"strictaero","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Treponema socranskii",53419,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira biflexa",172,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Synechococcus sp. RS9916",221359,"0","0",NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira interrogans",173,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira borgpetersenii",174,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermobrachium celere",53422,"1",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Yaniella halotolerans",225453,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermodesulfobacterium hveragerdense",53424,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Geobacillus sp. WCH70",471223,"1","1",NA,"bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Alcanivorax pacificus",1306787,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Synechococcus sp. RS9917",221360,"0","0",NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Corynebacterium resistens",258224,"0","1",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Leptospirillum ferrooxidans",180,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptonema illini",183,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas pelagia",553151,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Paenibacillus mucilaginosus",61624,"1",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methanocaldococcus vulcanius",73913,"0","0","strictanaero","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfitobacterium hafniense",49338,"1","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Propionibacterium sp. 5_U_42AFAA",450748,"0","1",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Treponema paraluiscuniculi",53435,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Veillonella sp. 6_1_27",450749,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Magnetospirillum magnetotacticum",188,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methanothermobacter tenebrarum",680118,NA,NA,NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Nocardiopsis alba",53437,"1","1","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Aquaspirillum serpens",190,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Selenomonas sputigena",69823,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
