"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Listeria fleischmannii",1069827,NA,"1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rickettsia canadensis",788,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella neotomae",29460,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella suis",29461,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfotomaculum kuznetsovii",58135,"1",NA,NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Veillonella parvula",29466,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfotomaculum acetoxidans",58138,"1",NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chryseobacterium caeni",365343,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pectobacterium atrosepticum",29471,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella quintana",803,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Caldicellulosiruptor obsidiansis",717609,"0",NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methylophaga frappieri",754477,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella elizabethae",807,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methylophaga nitratireducenticrescens",754476,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rudanella lutea",451374,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Lactobacillus camelliae",381742,"0",NA,"facultative","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Chlamydia trachomatis",813,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"alpha proteobacterium Mf 1.05b.01",1282876,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Photorhabdus luminescens",29488,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides fragilis",817,"0",NA,"strictanaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Algoriphagus terrigena",344884,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides thetaiotaomicron",818,"0",NA,"strictanaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Bacteroides uniformis",820,"0","0","strictanaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Flavobacterium soli",344881,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides vulgatus",821,"0","0","strictanaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Achromobacter arsenitoxydans",1147684,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Vibrio furnissii",29494,"0","0",NA,NA,"yes","doi","doi.org/10.1093/nar/gkw964"
"Parabacteroides distasonis",823,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Flavobacterium antarcticum",271155,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter gracilis",824,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides salyersiae",291644,"0","0","strictanaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Vibrio splendidus",29497,"0","0",NA,"bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Bacteroides nordii",291645,"0","0","strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Sebaldella termitidis",826,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter ureolyticus",827,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Gramella echinicola",279359,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Phytoplasma mali",37692,"0",NA,NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycoplasma haemofelis",29501,"0",NA,"facultative","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Arthrobacter gangotriensis",254787,"0","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfosporosinus acidiphilus",885581,"1",NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Fibrobacter succinogenes",833,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira inadai",29506,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira kirschneri",29507,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pyrococcus yayanosii",1008460,"0",NA,"strictanaero","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira meyeri",29508,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio alaskensis",58180,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Halorhabdus tiamatea",430914,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Porphyromonas gingivalis",837,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Turneriella parva",29510,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Vibrio albensis",140100,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Nonlabens dokdonensis",328515,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Prevotella ruminicola",839,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Prevotella loescheii",840,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Wolinella succinogenes",844,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Sphingopyxis baekryungensis",279369,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Borrelia afzelii",29518,"0","0",NA,"spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Oxalobacter formigenes",847,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Borrelia garinii",29519,"0","0",NA,"spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Borrelia crocidurae",29520,"0","0","strictaero","spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Fusobacterium mortiferum",850,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Fusobacterium nucleatum",851,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Staphylococcus sp. HGB0015",1078083,"0","1",NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Faecalibacterium prausnitzii",853,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Paenisporosarcina sp. HGH0030",1078085,"1","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Aeromonas sp. MDS8",1282886,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptomyces sp. HGB0020",1078086,"1","1","strictaero","tailed","no","doi","doi.org/10.1093/nar/gkw964"
"Fusobacterium varium",856,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Caldisericum exile",693075,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides sp. HPS0048",1078089,"0","0","strictanaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Fusobacterium necrophorum",859,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Coprococcus sp. HPP0048",1078091,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Fusobacterium periodonticum",860,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Fusobacterium ulcerans",861,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Agrobacterium sp. ATCC 31749",82789,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Sphingobium baderi",1332080,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Dichelobacter nodosus",870,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Enterococcus casseliflavus",37734,"0","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pelobacter propionicus",29543,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methanolacinia petrolearia",54120,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Corynebacterium crenatum",168810,"0","1",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio africanus",873,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Lawsonia intracellularis",29546,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio desulfuricans",876,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodothermus marinus",29549,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio fructosivorans",878,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio gigas",879,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Halococcus saccharolyticus",62319,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio salexigens",880,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acholeplasma axanthum",29552,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Haloterrigena turkmenica",62320,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio vulgaris",881,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Syntrophus aciditrophicus",316277,"0","0","strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pantoea sp. AS-PWVM4",1332069,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Shewanella baltica",62322,"0","0","facultative","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Synechococcus sp. RCC307",316278,"0","0",NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidovorax ebreus",721785,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Synechococcus sp. CC9902",316279,"0","0","facultative","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermodesulfobacterium thermophilum",886,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Treponema medium",58231,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfovibrio longus",889,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycoplasma ovipneumoniae",29562,"0",NA,NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfuromonas acetoxidans",891,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Cronobacter helveticus",357240,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfobulbus propionicus",894,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfococcus multivorans",897,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methanobacterium lacus",877455,NA,NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfomicrobium baculatum",899,"0","0","strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella tamiae",373638,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycoplasma crocodyli",50052,"0","0",NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Taylorella equigenitalis",29575,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Azonexus hydrophilus",418702,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidaminococcus fermentans",905,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Megasphaera elsdenii",907,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Muricauda ruestringensis",111501,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Janthinobacterium lividum",29581,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycobacterium sp. MOTT36Y",1168287,"0","1","strictaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Nitrobacter hamburgensis",912,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Nitrobacter winogradskyi",913,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella birtlesii",111504,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Nitrosomonas europaea",915,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methanocella paludicola",570267,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Nitrosomonas eutropha",916,"0","0",NA,NA,"yes","doi","doi.org/10.1093/nar/gkw964"
"Staphylococcus pasteuri",45972,NA,"1",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Mycobacterium sp. MCS",164756,"0","1","strictaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Mycobacterium sp. JLS",164757,"0","1","strictaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Acidithiobacillus ferrooxidans",920,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Starkeya novella",921,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thioalkalivibrio thiocyanoxidans",152475,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides dorei",357276,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas sp. P818",1336207,"0","0","strictaero",NA,"yes","doi","doi.org/10.1093/nar/gkw964"
"Thermocrinis albus",136094,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brachyspira hampsonii",1287055,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Thiomonas intermedia",926,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Halothiobacillus neapolitanus",927,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Deinococcus sp. 2009",684949,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermithiobacillus tepidarius",929,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Burkholderia ambifaria",152480,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Hydrogenobacter thermophilus",940,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Sulcia muelleri",336810,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ehrlichia canis",944,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ehrlichia chaffeensis",945,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycobacterium sp. H4Y",1168288,"0","1","strictaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Archaeoglobus veneficus",58290,NA,NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Sulfurimonas gotlandica",1176482,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Anaplasma phagocytophilum",948,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Dyadobacter beijingensis",365489,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Neorickettsia risticii",950,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Neorickettsia sennetsu",951,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Psychrobacter sp. PRwf-1",349106,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"alpha proteobacterium RS24",1397666,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Wolbachia pipientis",955,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bdellovibrio bacteriovorus",959,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter canadensis",123841,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bradyrhizobium genosp. SA-4",508869,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Geobacillus sp. GHH01",1233873,"1","1",NA,NA,"yes","doi","doi.org/10.1093/nar/gkw964"
"Herbaspirillum seropedicae",964,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Saccharimonas aalborgensis",1332188,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Selenomonas ruminantium",971,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Kineosphaera limosa",111564,NA,"1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brachyspira innocens",13264,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Flavobacterium indicum",312277,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Cellulophaga lytica",979,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Emticicia oligotrophica",312279,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Hyphomicrobium sp. MC1",717785,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Paludibacter propionicigenes",185300,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Dehalobacter sp. CF",1131462,"1",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pedobacter heparinus",984,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"marine actinobacterium PHSC20C1",312284,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Cytophaga hutchinsonii",985,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Flavobacterium johnsoniae",986,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Aquimarina latercula",987,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Marinilabilia salmonicolor",989,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Burkholderia phymatum",148447,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Solitalea canadensis",995,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Flavobacterium columnare",996,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Flexibacter litoralis",999,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chloroflexus sp. Y-400-fl",480224,"0","0",NA,"filamentous",NA,"doi","doi.org/10.1093/nar/gkw964"
"Hyperthermus butylicus",54248,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Simiduia agarivorans",447471,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Eggerthella sp. HGA1",910311,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pyrolobus fumarii",54252,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptococcus pasteurianus",197614,"0","1","facultative","coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Marivirga tractuosa",1006,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermosphaera aggregans",54254,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Saprospira grandis",1008,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pyrodictium abyssi",54256,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ferroglobus placidus",54261,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Weeksella virosa",1014,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas entomophila",312306,"0","0",NA,"bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Bergeyella zoohelcum",1015,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Porphyromonas catoniae",41976,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodococcus triatomae",300028,"0","1","strictaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Burkholderia contaminans",488447,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Capnocytophaga gingivalis",1017,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Capnocytophaga ochracea",1018,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bordetella trematum",123899,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Capnocytophaga sputigena",1019,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Beggiatoa alba",1022,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides cellulosilyticus",246787,"0",NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leuconostoc sp. C2",979982,"0","1","facultative","coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Burkholderia sp. RPE64",758793,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Microscilla marina",1027,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thiothrix nivea",1031,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Afipia clevelandensis",1034,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Afipia felis",1035,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidilobus saccharovorans",242703,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Enterococcus saccharolyticus",41997,"0","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermus sp. CCB_US3_UF1",1111069,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Methylotenera sp. 1P/1",1131551,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Escherichia sp. KTE172",1279005,"0","0","facultative","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Agromyces italicus",279572,"0",NA,NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Raoultella ornithinolytica",54291,"0","0","facultative","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Sphingomonas wittichii",160791,"0","0","strictaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Agrobacterium sp. H13-3",861208,"0","0","strictaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Novosphingobium pentaromativorans",205844,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Allochromatium vinosum",1049,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chroococcidiopsis thermalis",54299,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Halorhodospira halophila",1053,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Dictyoglomus turgidum",513050,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Hydrogenophaga sp. PBC",795665,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Natrinema sp. J7-2",406552,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ralstonia sp. PBA",795666,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodococcus opacus",37919,"0","1","strictaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Micavibrio aeruginosavorus",349221,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Hippea alviniae",1279027,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidovorax radicis",758826,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pleurocapsa minor",54308,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodobacter capsulatus",1061,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermocrispum agreste",37925,NA,"1",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Thermocrispum municipale",37926,NA,"1","strictaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Leptospira sp. Fiocruz LV3954",1193012,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodobacter sphaeroides",1063,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leptospira sp. Fiocruz LV4135",1193013,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidithiobacillus ferrivorans",160808,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Granulicatella adiacens",46124,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodomicrobium vannielii",1069,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacillus sonorensis",119858,"1","1",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodopseudomonas palustris",1076,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Serratia plymuthica",82996,"0","0","facultative","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Marinomonas mediterranea",119864,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella sp. 63/311",1160235,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Phaeospirillum molischianum",1083,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella sp. UK38/05",1160234,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodospirillum photometricum",1084,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Planococcus donghaensis",414778,NA,"1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Rhodospirillum rubrum",1085,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Burkholderia mallei",13373,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidaminococcus sp. BV3L6",1111120,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Atopobium sp. BV3Ac4",1111121,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Arthrobacter castelli",271431,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chlorobium limicola",1092,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfotignum balticum",115781,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chlorobium phaeovibrioides",1094,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Jonquetella sp. BV3C21",1111126,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chlorobium phaeobacteroides",1096,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Chlorobaculum tepidum",1097,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
