"tax_id","org_name","isolation_source","metabolism","growth_tmp","ref_type","reference"
762833,"Lactobacillus faecis","animal faeces","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1612,"Lactobacillus farciminis","sausage","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
390841,"Lactobacillus farraginis","composting material of distilled shochu residue","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1613,"Lactobacillus fermentum","human saliva","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
679249,"Lactobacillus floricola","flower of caltha palustris","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
640331,"Lactobacillus florum","peony (paeonia suffruticosa)","Anaerobic",28,"doi","doi.org/10.1128/AEM.01738-18"
1617889,"Lactobacillus formosensis","fermented soybean","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
88164,"Lactobacillus fornicalis","human vagina","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1614,"Lactobacillus fructivorans",NA,"Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
104955,"Lactobacillus frumenti","rye-bran sourdough","Anaerobic",40,"doi","doi.org/10.1128/AEM.01738-18"
164393,"Lactobacillus fuchuensis","vacuum-packed beef","Aerobic",20,"doi","doi.org/10.1128/AEM.01738-18"
1462575,"Lactobacillus furfuricola","rice bran paste","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
938155,"Lactobacillus futsaii","fu-tsai, a traditional fermented mustard product","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
52242,"Lactobacillus gallinarum","chicken crop","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1596,"Lactobacillus gasseri","human","Preferably anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
227942,"Lactobacillus gastricus","gastric biopsies, human stomach mucosa","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
399370,"Lactobacillus ghanensis","cocoa fermentation","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1203069,"Lactobacillus gigeriorum","chicken crop","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1007676,"Lactobacillus ginsenosidimutans","kimchi","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1450649,"Lactobacillus gorillae","gorilla faeces","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
60519,"Lactobacillus graminis","grass silage","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
267633,"Lactobacillus hammesii","wheat sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
96565,"Lactobacillus hamsteri","faeces of hamster","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
304207,"Lactobacillus harbinensis","chinese traditional fermented vegetable","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
396716,"Lactobacillus hayakitensis","faeces of thoroughbred horse","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1074467,"Lactobacillus heilongjiangensis","chinese pickle","Microaerophilic",28,"doi","doi.org/10.1128/AEM.01738-18"
1218494,"Lactobacillus helsingborgensis","honey stomach of honeybee","Anaerobic",35,"doi","doi.org/10.1128/AEM.01738-18"
1587,"Lactobacillus helveticus","malt whiskey fermentation","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1670446,"Lactobacillus herbarum","fermented white radish","Microaerophilic",25,"doi","doi.org/10.1128/AEM.01738-18"
1588,"Lactobacillus hilgardii","wine","Preferably anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1193095,"Lactobacillus hokkaidonensis","timothy grass silage","Microaerophilic",25,"doi","doi.org/10.1128/AEM.01738-18"
1203033,"Lactobacillus hominis","human intestine","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
33961,"Lactobacillus homohiochii","spoiled sake","Microaerophilic",26,"doi","doi.org/10.1128/AEM.01738-18"
468911,"Lactobacillus hordei","malted barley","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
147802,"Lactobacillus iners","human urine","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
148604,"Lactobacillus ingluviei","pigeon, crop","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1732567,"Lactobacillus insicii","fermented raw meat","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
151781,"Lactobacillus intestinalis","intestine of rat","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1267156,"Lactobacillus iwatensis","orchardgrass silage","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
109790,"Lactobacillus jensenii","human vaginal discharge","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
33959,"Lactobacillus johnsonii","human blood","Preferably anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
227944,"Lactobacillus kalixensis","gastric biopsies, human stomach mucosa","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
