"tax_id","org_name","metabolism","ref_type","reference"
285091,"Alcanivorax dieselolei","microaerophilic","doi","doi.org/10.1093/nar/gky879"
111143,"Alishewanella fetalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1130080,"Alkalibacterium gilvum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
426704,"Alkalibacterium kapii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
426702,"Alkalibacterium pelagium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
426703,"Alkalibacterium putridalgicola","microaerophilic","doi","doi.org/10.1093/nar/gky879"
426701,"Alkalibacterium thalassium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
594679,"Allofrancisella guangzhouensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
166939,"Allofustis seminis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1652,"Alloiococcus otitis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
419015,"Alloscardovia omnicolens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
748908,"Alpinimonas psychrophila","microaerophilic","doi","doi.org/10.1093/nar/gky879"
194196,"Alysiella filiformis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1076330,"Amphibacillus indicireducens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
161493,"Anaeromyxobacter dehalogenans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
278991,"Aneurinibacillus terranovensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1679466,"Apibacter adventoris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
450365,"Aquabacterium fontiphilum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1872578,"Aquabacterium sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
190,"Aquaspirillum serpens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1591092,"Aquaspirillum soli","microaerophilic","doi","doi.org/10.1093/nar/gky879"
254246,"Aquicella lusitana","microaerophilic","doi","doi.org/10.1093/nar/gky879"
254247,"Aquicella siphonis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
999183,"Arcanobacterium canis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28264,"Arcanobacterium haemolyticum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
149017,"Arcanobacterium hippocoleae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
131112,"Arcanobacterium phocae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1302235,"Arcanobacterium phocisimile","microaerophilic","doi","doi.org/10.1093/nar/gky879"
108028,"Arcanobacterium pluranimalium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
72409,"Arcanobacterium sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28197,"Arcobacter butzleri","microaerophilic","doi","doi.org/10.1093/nar/gky879"
255507,"Arcobacter cibarius","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28198,"Arcobacter cryaerophilus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
873191,"Arcobacter defluvii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1564138,"Arcobacter faecis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
197482,"Arcobacter halophilus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1355374,"Arcobacter lanthieri","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1904463,"Arcobacter lekithochrous","microaerophilic","doi","doi.org/10.1093/nar/gky879"
603050,"Arcobacter mytili","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28199,"Arcobacter nitrofigilis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1935204,"Arcobacter porcinus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28200,"Arcobacter skirrowii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
544718,"Arcobacter thereius","microaerophilic","doi","doi.org/10.1093/nar/gky879"
708186,"Arcobacter trophiarum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
673954,"Arsenicicoccus piscis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1667,"Arthrobacter sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
136492,"Atopobacter phocae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
370622,"Aureimonas altamirensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
751,"Avibacterium avium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
755,"Avibacterium gallinarum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
728,"Avibacterium paragallinarum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
762,"Avibacterium volantium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
146939,"Azospira oryzae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
209458,"Bacillus arbutinivorans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1456,"Bacillus benzoevorans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1397,"Bacillus circulans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
