"strain.code","T.C","rate.per.minute","domain","kingdom","phylum","binomial.name","aero","trophy"
1,37,0.0707293041387698,"Bacteria","Bacteria","Proteobacteria","Vibrio natriegens","FA","H"
2,65,0.00231049060186648,"Bacteria","Bacteria","Firmicutes","Desulfotomaculum sp.","AN","A"
3,28,0.00133233877829634,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,35,0.00363270495020308,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,40,0.00464986233625525,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,45,0.00534466935201827,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,50,0.00534466935201827,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,55,0.00522456442276839,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,60,0.00360454444670961,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,65,0.00123666551496209,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
4,36.923642536,0.00112257610226178,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,45.0895443086,0.0034506554002774,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,50.0141496482,0.00537122196944578,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,55.0979492282,0.00666666666666667,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,60.1170377027,0.00483552702848868,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,65.067806341,2.10973892318967e-05,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
5,-0.0127237823117,0.00141373424578538,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
5,4.97849606381,0.00198412698412698,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
5,6.87247942616,0.00158510600979969,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
5,9.98820631873,0.000405700766508615,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
6,14.411664484,0.003496941312152,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,16.4531520782,0.00573426086320505,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,18.502234814,0.00708468741959034,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,19.5631287698,0.00731608521543578,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,21.5209022025,0.0115849156782128,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,23.0472786534,0.0131008763566768,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,24.1293790206,0.0139380636953467,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,25.5481355799,0.0172271575625122,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,27.6284369055,0.0192770108659071,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,29.5810586975,0.022110454172397,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,31.5330629982,0.0270981786038486,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,33.5505831133,0.0299695299076203,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,35.0800470201,0.0314831362913988,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,36.5445243906,0.0373034963675016,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,37.5849617458,0.0408173916493059,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,43.5567983511,0.0391954183889867,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,44.492747377,0.0357147406315979,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,44.8328879836,0.0352752430960996,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,45.2579865553,0.0349956848352979,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,47.5422981459,0.00871513580978496,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
7,65,0.00577622650466621,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor hydrothermalis","AN","H"
8,70,0.00462098120373297,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor kronotskyensis","AN","H"
9,78,0.00577622650466621,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor kristjanssonii","AN","H"
10,50.0779603406,0.000332218948640001,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
10,55.034493747,0.000571117496771667,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
10,59.9608381366,0.00141002275357333,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
10,64.9453802418,0.00234224841088333,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
10,67.9662945218,0.00230157709659999,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
10,74.9589093938,0.00207335651551666,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
10,78.0611663023,0.001666000458425,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor acetigenus","AN","H"
11,37.0142328125,0.00020019162837121,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,41.9858968895,0.00031309492255435,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,49.8072469024,0.000745762789768613,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,54.9315358573,0.00212579467111791,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,59.8987530076,0.00427268751202477,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,64.9553851489,0.00553622422579002,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,69.9302256021,0.00723806645733088,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,74.9047484178,0.00963415397477821,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,77.9248469384,0.00980392156862745,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,80.049842637,0.00849190664486412,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,82.0115725974,0.00735565212904455,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,84.8757110451,0.00495711751423653,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
11,89.8888268319,0.000747984221319508,"Bacteria","Bacteria","Firmicutes","Caldicellulosiruptor bescii","AN","H"
12,60,0.00770163533955494,"Bacteria","Bacteria","Proteobacteria","Caminibacter hydrogeniphilus","AN","A"
13,55,0.0138629436111988,"Bacteria","Bacteria","Proteobacteria","Caminibacter mediatlanticus","AN","A"
14,55,0.0173286795139986,"Bacteria","Bacteria","Proteobacteria","Caminibacter profundus","FA","A"
15,55,0.0173286795139986,"Bacteria","Bacteria","Proteobacteria","Caminibacter profundus","FA","A"
16,12,0.000243055555555556,"Eukarya","Chromista","Myzozoa","Noctiluca scintillans","A","H"
16,16,0.000451388888888887,"Eukarya","Chromista","Myzozoa","Noctiluca scintillans","A","H"
16,25,0.0004375,"Eukarya","Chromista","Myzozoa","Noctiluca scintillans","A","H"
16,27,0.000104166666666667,"Eukarya","Chromista","Myzozoa","Noctiluca scintillans","A","H"
17,34.0095064203,0.00088369911454079,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,34.0132573878,0.000978914575580132,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,35.1510508663,0.000978738223172313,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,36.1930160557,0.00150160302396227,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,37.1673745212,0.00174370780526414,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,38.1817433068,0.0014244880526008,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,39.1520828785,0.00152705844190445,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,40.0209677099,0.00207394155813588,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,41.2218131661,0.00231373724893852,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,42.1889376228,0.00231350678994097,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,43.1184630956,0.00314970952822816,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,44.2675094767,0.00369676828751674,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,46.1454045686,0.0037233596124286,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,47.2311310457,0.00397190618174944,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,48.148331911,0.00434530659312229,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,52.247067696,0.00449214421280979,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,54.1072796555,0.00358620635691939,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,55.1521920337,0.00470277842589189,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,57.2319249013,0.00337488092271035,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,58.0699982138,0.00267682179044114,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
17,60.081588505,0.00133761872376187,"Bacteria","Bacteria","Firmicutes","Bacterial str.","A","M"
18,60,0.00129802842801488,"Bacteria","Bacteria","Proteobacteria","Thermoanaerobaculum aquaticum","AN","H"
19,-9.4147104118,2.73423886802375e-05,"Bacteria","Bacteria","","Bacterial str.","A","H"
19,-4.64142013347,5.13994542313223e-05,"Bacteria","Bacteria","","Bacterial str.","A","H"
19,-1.19742820202,8.05372536993632e-05,"Bacteria","Bacteria","","Bacterial str.","A","H"
19,0.193800761273,0.000137564574440028,"Bacteria","Bacteria","","Bacterial str.","A","H"
19,4.99957399404,0.000436651560709017,"Bacteria","Bacteria","","Bacterial str.","A","H"
20,65,0.00660140171961853,"Bacteria","Bacteria","Thermotogae","Thermococcoides shengliensis","AN","H"
21,58.5,0.00385081766977747,"Bacteria","Bacteria","Thermotogae","Mesoaciditoga lauensis","AN","H"
22,55,0.0145925722223146,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,26.2411976047904,0.00204897741707765,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,26.2967132079364,0.00208963937405611,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,27.9718080960975,0.00291844995544544,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,27.9718080960975,0.00291844995544544,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,29.8930483572643,0.00343771874772566,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,29.9499266159494,0.00438051446511717,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,31.60873431321,0.00502648413421305,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,31.6662584701844,0.00744642358084412,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,33.4021381521441,0.00865717868635304,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,33.5768141155244,0.00826919656949011,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,35.3935240060048,0.00918287969552319,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,35.511470346208,0.00912292639648668,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,37.1722380427415,0.0124118404428529,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,37.4109505587118,0.0112503317412079,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,39.273499061838,0.0136932658274175,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,39.273499061838,0.0136038650633562,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,41.0973602379661,0.0151069883538558,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,41.2197083952949,0.0153061985192564,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,43.1283609795428,0.0158157925613429,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,43.2522959975865,0.0159197294890136,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,45.2485487269906,0.0168864437225266,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,45.3113375796178,0.0168864437225266,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,47.079535206488,0.017911860989274,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,47.2701501954708,0.0180295726874307,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,49.317586310625,0.019124405646319,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,49.3819903734471,0.0193765919803962,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,51.4565906214833,0.0204190335970037,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,51.4565906214833,0.0204190335970037,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,53.4919690138029,0.0213770734516241,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,53.4919690138029,0.0213770734516241,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,55.6868978436234,0.0204190335970037,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,55.7538714082626,0.0204190335970037,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,57.9115237486884,0.0185082061648192,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,57.9115237486884,0.0183873695584653,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,59.9601914156333,0.0129093544724712,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
23,60.0289170841673,0.0129941911088242,"Bacteria","Bacteria","Firmicutes","Clostridium thermobutyricum","AN","H"
24,15,0.00414224191175,"Bacteria","Bacteria","Proteobacteria","Vibrio sp.","FA","H"
24,20,0.0110002638996501,"Bacteria","Bacteria","Proteobacteria","Vibrio sp.","FA","H"
24,25,0.0154591853923165,"Bacteria","Bacteria","Proteobacteria","Vibrio sp.","FA","H"
24,30,0.0241327808285,"Bacteria","Bacteria","Proteobacteria","Vibrio sp.","FA","H"
24,35,0.0221059472875,"Bacteria","Bacteria","Proteobacteria","Vibrio sp.","FA","H"
25,17.1045130641,0.000335139548693333,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,19.0617577197,0.000334149841646665,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,20.7571258907,0.000626577345605001,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,22.8171021378,0.000959273555028333,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,25.6235154394,0.00107921367775167,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,31.1633016627,0.00256306289588333,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,33.0831353919,0.0031992280285,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,34.4275534442,0.00321877474268333,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,36.020783848,0.00316740276128333,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,38.0825415677,0.00346975826405,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,39.8040380048,0.00331718873713334,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,41.6478622328,0.00316455735351666,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,42.5510688836,0.00236515241488333,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,43.2868171021,0.0023344405681,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
25,44.8717339667,0.000341325217735001,"Bacteria","Bacteria","Firmicutes","Desulfitobacterium dehalogenans","AN","H"
26,60,0.00177730046297422,"Bacteria","Bacteria","Firmicutes","Clostridium thermocellum","AN","H"
26,60,0.00462098120373297,"Bacteria","Bacteria","Firmicutes","Clostridium thermocellum","AN","H"
27,16,7.91666666666666e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
27,20,0.000131944444444444,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
27,24,0.000181250000000001,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
28,16,9.09722222222223e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
28,20,0.000100694444444445,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
28,24,0.0001125,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
29,16,6.52777777777779e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
29,20,8.40277777777778e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
29,24,9.09722222222223e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
30,16,4.58333333333333e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
30,20,6.52777777777779e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
30,24,0.000111805555555556,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
31,16,8.47222222222223e-05,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
31,20,0.000114583333333332,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
31,24,0.000147222222222222,"Eukarya","Animalia","Rotifera","Macrotrachela quadricornifra","A","H"
32,5.88103001098688,0.00013933882277011,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,6.82557512502643,0.000148251071122622,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,7.85055447053981,0.000174805378603713,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,8.95855508894653,0.000263760737265278,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,9.85075650838144,0.00033762835704887,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,10.8227994966388,0.000382064121936403,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,11.8780851495411,0.000509608291343137,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,12.8653006441945,0.000693823079687027,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,13.7813750253241,0.000753505581425459,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,14.8578808432211,0.000870401329250215,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,15.7866510748775,0.000926047785107154,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,16.8001039541248,0.00106968182865778,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,17.8994227817449,0.00123562785530692,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,18.8484879152572,0.00142724016836202,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,19.8037625797561,0.00164856634579516,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,20.8450910404321,0.00175401027308538,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,21.8129413669581,0.0018661475733974,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,22.7878820643016,0.00220028649791385,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,23.8509921844081,0.00248986944160112,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,24.9216262561139,0.00276026028620928,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,25.6674438691774,0.00299745184618028,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,26.8345902176542,0.00318925884658921,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,27.8430651937469,0.00376030453246914,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,28.7727013278148,0.00391923350612009,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,29.8787394607609,0.00408510254417466,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,30.8218945410911,0.00481642010800197,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,31.8560688827112,0.00472000756353501,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,32.8976021712935,0.00481957549212184,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,33.8583216388586,0.00472297090180969,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,34.8252425157362,0.00472438880816705,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,35.7981211115833,0.00462969215992258,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,36.9558684744972,0.00453714124512539,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,37.9422758345457,0.00444619782658363,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,38.9346681927314,0.00418164832127425,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
32,39.9327879604018,0.00362251932669523,"Bacteria","Bacteria","Firmicutes","Lactococcus paracasei","FA","H"
33,29.7980696649881,0.00788415685345302,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,30.8254247697397,0.00788673900674577,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,31.8602155634856,0.00839095362507748,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,32.815019274825,0.00892716005891885,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,33.9521280412322,0.0109674630753391,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,34.92100056364,0.0131993169834169,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,35.8952453878313,0.0143343280315713,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,36.965360178564,0.0162204474042319,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,37.953060598922,0.0187352868902095,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,38.8560790619495,0.020345781530799,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,39.9465201264144,0.0220959209785502,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,40.8606939701135,0.0225608001583542,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,41.873244797431,0.025528666965905,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,42.8923466301713,0.0288869558030906,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,43.9179032141494,0.0320222273531699,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,44.9496538661263,0.0333756442595837,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,45.9879788019891,0.0340787690537187,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,46.8422762135669,0.0333938644361056,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,47.9877132250923,0.0295301474815219,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,48.8521042588713,0.0266534160372609,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,49.8182707909783,0.0245570317251873,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
33,50.9858196604156,0.0235760110010274,"Bacteria","Bacteria","Firmicutes","Streptococcus thermophilus","FA","H"
34,19,0.00126718103425837,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,27,0.0154108330284317,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,29,0.0127681462730345,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,32,0.0155151016534287,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,35,0.0254829891771322,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,38,0.0263742581612596,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,41,0.0255949204665895,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,43,0.0250398549768421,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,44,0.0248035604839854,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,46,0.0266324896751318,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
34,49,0.0282080382837086,"Bacteria","Bacteria","Firmicutes","Clostridium perfringens","AN","H"
35,5,6.84127641731357e-06,"Eukarya","Animalia","Arthropoda","Acroperus harpae","A","H"
35,10,1.26671633874259e-05,"Eukarya","Animalia","Arthropoda","Acroperus harpae","A","H"
35,15,1.96872069007029e-05,"Eukarya","Animalia","Arthropoda","Acroperus harpae","A","H"
35,20,3.12160965448887e-05,"Eukarya","Animalia","Arthropoda","Acroperus harpae","A","H"
36,5,6.60472295173139e-06,"Eukarya","Animalia","Arthropoda","Alona affinis","A","H"
36,10,1.22637505406926e-05,"Eukarya","Animalia","Arthropoda","Alona affinis","A","H"
36,15,1.88101683752319e-05,"Eukarya","Animalia","Arthropoda","Alona affinis","A","H"
36,20,2.83983603965891e-05,"Eukarya","Animalia","Arthropoda","Alona affinis","A","H"
37,5,1.2518913100707e-05,"Eukarya","Animalia","Arthropoda","Chydorus sphaericus","A","H"
37,10,2.33779605984548e-05,"Eukarya","Animalia","Arthropoda","Chydorus sphaericus","A","H"
37,15,4.36798737497445e-05,"Eukarya","Animalia","Arthropoda","Chydorus sphaericus","A","H"
37,20,5.38425289398416e-05,"Eukarya","Animalia","Arthropoda","Chydorus sphaericus","A","H"
38,5,4.79148127336438e-06,"Eukarya","Animalia","Arthropoda","Eurycercus lamellatus","A","H"
38,10,9.19137308997871e-06,"Eukarya","Animalia","Arthropoda","Eurycercus lamellatus","A","H"
