ORGANISM_ID	TERM
8457	Gastrointestinal tract
8457	Air
8542	Skin
8542	Human skin
8542	Host
8542	Fresh water
8617	Host
8627	Host
8637	Skin
8637	Human skin
8637	Host
8637	Fresh water
8638	Skin
8638	Human skin
8638	Host
8638	Fresh water
8672	Fresh water
8684	Human airways
8684	Host
8694	Host
8725	Human airways
8725	Host
8746	Skin
8746	Human skin
8746	Host
8746	Fresh water
8786	Human airways
8786	Host
8809	Fresh water
8848	Host
8848	Fresh water
8848	Aquatic
8861	Fresh water
8909	Human oral cavity
8909	Host
8911	Human oral cavity
8911	Host
8926	Soil
8926	Rhizosphere
8943	Soil
8944	Host
9040	Host
13993	Fermented food product
14013	Sea water
14013	Marine
14013	Aquatic
14033	Fresh water
14033	Aquatic
14972	Soil
14972	Fresh water
15057	Soil
15057	Rhizosphere
15067	Soil
15067	Rhizosphere
15107	Soil
15217	Soil
15241	Soil
15252	Soil
15270	Soda lakes
15270	Sediment
15270	Aquatic
15320	Human
15320	Host
14136	Oil fields
14152	Hypersaline lakes
14152	Aquatic
14185	Sea water
14185	Marine
14185	Aquatic
14262	Gastrointestinal tract
14280	Groundwater
14287	Soil
14287	Root nodule
14287	Plant root
14287	Host
14368	Compost
14409	Soil
14577	Soil
14577	Fresh water
14703	Host
14703	Gastrointestinal tract
14703	Feces
14850	Sediment
13575	Sediment
13575	Aquatic
13657	Sediment
13657	Marine
13657	Aquatic
13740	Host
13740	Bovine
13820	Sediment
13820	Marine
13820	Deep sea
13820	Aquatic
13842	Soil
13919	Marine
13919	Host
13919	Aquatic
13928	Plants
13939	Host
13939	Bovine
13942	Soil
13942	Rhizosphere
13964	Sediment
13964	Aquatic
12769	Rhizosphere
12816	Intestinal tract
12816	Human intestinal microflora
12860	Host
12860	Endosymbiont
12962	Sediment
12971	Soil
12980	Soil
12980	Rice paddies
12989	Soil
103132	Host
103132	Aquatic
103132	Acid mine drainage
13007	Sand
13025	Host
13069	Chemical reactor
13077	Soil
13091	Sludge
15623	Fresh water
15623	Aquatic
12050	Human stomach
12089	Gut
12154	Root nodule
12187	Soil
12187	Root nodule
12187	Rhizosphere
12226	Plants
12227	Plants
12285	Host
12443	Aquatic
12448	Oral cavity
12504	Host
12519	Host
12621	Soil
12621	Hydrothermal vent
12621	Hot spring
12621	Aquatic
12653	Oral cavity
12707	Human oral cavity
12707	Host
18955	Soil
18955	Host
18984	Insect
18984	Host
19167	Sediment
19167	Mud
19167	Marine
19388	Soil
19388	Skin
19388	Human blood
19388	Human
19388	Host
19388	Blood
18230	Host
18370	Host
18372	Host
18709	Sediment
18709	Marine
18709	Aquatic
18906	Hot spring
18906	Aquatic
13115	Marine
13115	Host
13115	Fish
13143	Wastewater
13143	Aquatic
13196	Human
13196	Host
17561	Host
17562	Host
17608	Host
17678	Marine
17678	Aquatic
16413	Host
16557	Intestinal tract
16560	Intestinal tract
16608	Intestinal tract
16619	Vagina
16619	Oral cavity
16619	Intestinal tract
19440	Soil
19647	Soil
19647	Host
19725	Host
19744	Soil
19744	Host
19779	Host
19859	Host
19939	Soil
19939	Host
16107	Fresh water
16107	Aquatic
16165	Fresh water
16165	Aquatic
16181	Sediment
16181	Lentic sediment
16181	Hot spring
16181	Fresh water
16181	Aquatic
17383	Aquatic
7823	Host
23124	Soil
23427	Host
22298	Marine
22298	Hydrothermal vent
22298	Hot spring
22298	Deep sea
22298	Aquatic
22750	Host
22750	Gastrointestinal tract
16726	Soil
16726	Fresh water
16727	Host
16805	Plants
17285	Human fecal
17285	Host
20572	Terrestrial
20572	Soil
20572	Animal feces
20667	Aquatic
20979	Host
23595	Wastewater
23595	Sludge
23595	Sediment
23664	Soil
23670	Soil
23672	Soil
23992	Marine
23992	Aquatic
24160	Wastewater
24160	Sludge
24160	Host
24243	Soil
24473	Soil
24507	Wastewater
24507	Sludge
24507	Host
20406	Host
20406	Gastrointestinal tract
21660	Gastrointestinal tract
27030	Wastewater
27030	Sludge
27030	Host
27139	Hot spring
27139	Aquatic
27140	Sediment
27168	Soil
27168	Fresh water
27168	Aquatic
27173	Soil
27173	Rhizosphere
27176	Marine
27176	Aquatic
21816	Marine
21816	Aquatic
26414	Soil
26499	Soil
26502	Soil
3929	Soil
3929	Plant surface
26683	Wastewater
26683	Sludge
26831	Soil
26939	Host
26939	Gastrointestinal tract
26939	Feces
26961	Host
21026	Soil
21047	Host
21126	Host
21139	Terrestrial
21185	Host
21185	Hindgut
21212	Marine
21224	Gastrointestinal tract
21271	Gastrointestinal tract
21479	Soil
21479	Rhizosphere
28823	Soil
28858	Fresh water
28858	Aquatic
24873	Wastewater
24873	Intestinal tract
24873	Host
24975	Mud
27442	Soil
27466	Hydrothermal vent
27466	Hot spring
27466	Aquatic
27477	Soil
27568	Aquatic
27855	Soil
27860	Soil
27885	Hot spring
27885	Aquatic
27937	Sediment
27937	Marine
27937	Aquatic
28097	Soil
28225	Aquatic
28267	Mud
28475	Fresh water
28475	Aquatic
28514	Marine
28514	Aquatic
28721	Soil
25712	Human skin
25712	Host
25817	Host
25818	Plant root
25818	Host
30805	Fermented food product
30830	Host
30912	Sediment
31095	Soil
31187	Milk
31187	Food
31204	Host
25853	Plant root
25853	Host
26042	Host
26134	Soil
26134	Rhizosphere
26245	Aquatic
26336	Soil
30531	Fresh water
30531	Aquatic
30557	Host
25188	Marine
25188	Aquatic
25306	Respiratory tract
25306	Lung
25306	Host
32587	Hot spring
32587	Aquatic
32636	Host
32695	Host
32734	Host
28929	Host
28936	Sediment
28936	Hot spring
28936	Aquatic
28975	Sediment
31279	Host
31372	Aquatic
31463	Sediment
31481	Host
31513	Plant symbiont
31513	Host
31631	Sediment
31729	Hot spring
31729	Aquatic
31793	Soil
31863	Soil
31864	Hot spring
31864	Aquatic
31876	Air
31883	Fresh water
31883	Aquatic
32310	Human stomach
32399	Soil
32504	Soil
29599	Aquatic
29630	Host
29656	Host
29683	Host
29698	Soil
29782	Soil
29881	Soil
29955	Soil
29973	Soil
30060	Soil
30061	Soil
30131	Soil
30136	Host
30234	Plant root
30234	Host
30242	Sediment
30374	Human feces
30447	Root nodule
30447	Plant root
30447	Host
29085	Mud
29244	Mud
29405	Air
29421	Mud
29489	Mud
15914	Fresh water
15914	Aquatic
2277	Human
2277	Host
2324	Fresh water
2338	Hot spring
32042	Host
32042	Aquatic
14759	Host
2483	Soil
2483	Snow
2483	Fresh water
2483	Antarctic
2586	Host
2586	Cellulosic substrates
2594	Soil
2594	Host
18150	Marine
18150	Aquatic
1521	Human stomach
1521	Host
1546	Soil
1546	Fresh water
1546	Aquatic
1554	Soil
1554	Intestinal tract
1554	Fresh water
1554	Food
1572	Soil
1572	Intestinal tract
1572	Host
1572	Fresh water
1572	Food
1573	Soil
1573	Intestinal tract
1573	Host
1573	Fresh water
