Original,New,Priority,Category
Nonsporulating,no,1,1
nonsporulating,no,1,1
Non-sporulating,no,1,1
nonsporulation,no,1,1
Nonsporulation,no,1,1
Sporulating,yes,1,2
sporulating,yes,1,2
Sporulation,yes,1,2
Sporulator,yes,1,2
yes,yes,1,2
Yes,yes,1,2
no,no,1,1
No,no,1,1
NA,NA,0,0
0,no,1,1
1,yes,1,2
N,no,1,1
NO,no,1,1
