name,phyl_level
Cyanobacteria,phylum
Chlorobi,phylum
Chlorobium,genus
Chloroflexia,class
Chromatium,genus
Roseobacter,genus
Dinoroseobacter,genus
Roseivivax,genus
Roseovairus,genus
Roseibacterium,genus
Roseococcus,genus
Citromicrobium,genus
Sandaracinobacter,genus
Prochloron,genus
